State,State Abbreviation,District Number,Special Election,Candidate,Party,writein,Candidate Votes,Total Votes,Candidate Percent
Alabama,AL,statewide,False,Ron Crumpton,democrat,False,748709,2087444,0.3586726158881388
Alabama,AL,statewide,False,Richard C. Shelby,republican,False,1335104,2087444,0.639587936251224
Alabama,AL,statewide,False,0,0,True,3631,2087444,0.0017394478606372196
Alaska,AK,statewide,False,Joe Miller,libertarian,False,90825,311441,0.2916282698809726
Alaska,AK,statewide,False,Ted Gianoutsos,independent,False,1758,311441,0.005644728857151114
Alaska,AK,statewide,False,Ray Metcalfe,democrat,False,36200,311441,0.11623389341801497
Alaska,AK,statewide,False,Margaret Stock,independent,False,41194,311441,0.1322690333000472
Alaska,AK,statewide,False,Breck A. Craig,independent,False,2609,311441,0.00837718861678456
Alaska,AK,statewide,False,Lisa Murkowski,republican,False,138149,311441,0.44358000391727487
Alaska,AK,statewide,False,0,0,True,706,311441,0.0022668820097546567
Arizona,AZ,statewide,False,Anthony Camboni,none,True,45,2530730,1.7781430654396162e-05
Arizona,AZ,statewide,False,Ann Kirkpatrick,democrat,False,1031245,2530730,0.4074891434487282
Arizona,AZ,statewide,False,0,0,True,4,2530730,1.5805716137241033e-06
Arizona,AZ,statewide,False,0,0,True,694,2530730,0.0002742291749811319
Arizona,AZ,statewide,False,Leonard Clark,independent,True,83,2530730,3.279686098477514e-05
Arizona,AZ,statewide,False,Sydney Dudikoff,republican,True,494,2530730,0.00019520059429492675
Arizona,AZ,statewide,False,0,0,True,34,2530730,1.3434858716654879e-05
Arizona,AZ,statewide,False,John McCain,republican,False,1359267,2530730,0.5371047089179802
Arizona,AZ,statewide,False,0,0,True,223,2530730,8.811686746511876e-05
Arizona,AZ,statewide,False,0,0,True,7,2530730,2.766000324017181e-06
Arizona,AZ,statewide,False,Gary Swing,green,False,138634,2530730,0.05478024127425683
Arkansas,AR,statewide,False,John Boozman,republican,False,661984,1107522,0.5977163433322318
Arkansas,AR,statewide,False,0,0,True,1070,1107522,0.000966120763289578
Arkansas,AR,statewide,False,Conner Eldridge,democrat,False,400602,1107522,0.36171019627601075
Arkansas,AR,statewide,False,Frank Gilbert,libertarian,False,43866,1107522,0.03960733962846788
California,CA,statewide,False,Loretta Sanchez,democrat,False,4701417,12244170,0.3839718821283925
California,CA,statewide,False,Kamala D. Harris,democrat,False,7542753,12244170,0.6160281178716075
Colorado,CO,statewide,False,Paul Noel Fiorino,none,False,3216,2743023,0.0011724291046775765
Colorado,CO,statewide,False,Dan Chapin,none,False,8361,2743023,0.0030480969353884383
Colorado,CO,statewide,False,Michael F. Bennet,democrat,False,1370710,2743023,0.4997078041270525
Colorado,CO,statewide,False,Lily Tang Williams,libertarian,False,99277,2743023,0.03619255106501112
Colorado,CO,statewide,False,Bill Hammons,unity party of colorado,False,9336,2743023,0.003403544191937144
Colorado,CO,statewide,False,Darryl Glenn,republican,False,1215318,2743023,0.4430578963428305
Colorado,CO,statewide,False,Arn Menconi,green,False,36805,2743023,0.013417678233102675
Connecticut,CT,statewide,False,Richard Blumenthal,democrat,False,920766,1596276,0.5768213015794261
Connecticut,CT,statewide,False,Richard Blumenthal,working families,False,87948,1596276,0.055095735323966534
Connecticut,CT,statewide,False,0,0,True,26,1596276,1.6287910110782847e-05
Connecticut,CT,statewide,False,Dan Carter,republican,False,552621,1596276,0.34619389128195877
Connecticut,CT,statewide,False,0,0,True,12,1596276,7.517496974207468e-06
Connecticut,CT,statewide,False,Richard Lion,libertarian,False,18190,1596276,0.011395272496736154
Connecticut,CT,statewide,False,Jeffery Russell,green,False,16713,1596276,0.01046999391082745
Florida,FL,statewide,False,Charles Frederick Tolbert,0,True,56,9301820,6.02032720478358e-06
Florida,FL,statewide,False,Steven Machat,none,False,26918,9301820,0.002893842280327936
Florida,FL,statewide,False,0,0,True,7,9301820,7.525409005979475e-07
Florida,FL,statewide,False,Patrick Murphy,democrat,False,4122088,9301820,0.44314854512342744
Florida,FL,statewide,False,Paul Stanton,libertarian,False,196956,9301820,0.02117392080259562
Florida,FL,statewide,False,Basil E. Dalack,none,False,22236,9301820,0.0023904999236708515
Florida,FL,statewide,False,0,0,True,50,9301820,5.375292147128196e-06
Florida,FL,statewide,False,0,0,True,10,9301820,1.0750584294256393e-06
Florida,FL,statewide,False,0,0,True,37,9301820,3.9777161888748655e-06
Florida,FL,statewide,False,Bruce Nathan,none,False,52451,9301820,0.005638788968180421
Florida,FL,statewide,False,Marco Rubio,republican,False,4835191,9301820,0.5198112842432986
Florida,FL,statewide,False,Tony Khoury,none,False,45820,9301820,0.004925917723628279
Georgia,GA,statewide,False,0,0,True,813,3898605,0.00020853613023119808
Georgia,GA,statewide,False,Jim Barksdale,democrat,False,1599726,3898605,0.4103329267776551
Georgia,GA,statewide,False,Allen Buckley,libertarian,False,162260,3898605,0.04162001536447011
Georgia,GA,statewide,False,Johnny Isakson,republican,False,2135806,3898605,0.5478385217276436
Hawaii,HI,statewide,False,Blank Vote,0,False,20763,437664,0.04744050230313665
Hawaii,HI,statewide,False,"John M. ""Raghu"" Giuffre",american shopping party,False,1393,437664,0.0031828069020984136
Hawaii,HI,statewide,False,Joy J. Allison,constitution,False,9103,437664,0.020799060466476567
Hawaii,HI,statewide,False,Michael A. Kokoski,libertarian,False,6809,437664,0.015557596695181692
Hawaii,HI,statewide,False,Brian Schatz,democrat,False,306604,437664,0.7005465379834759
Hawaii,HI,statewide,False,Over Vote,0,False,339,437664,0.0007745667909629304
Hawaii,HI,statewide,False,John Carroll,republican,False,92653,437664,0.21169892885866784
Idaho,ID,statewide,False,Ray J. Writz,constitution,False,41677,678943,0.061385123640718
Idaho,ID,statewide,False,Mike Crapo,republican,False,449017,678943,0.6613471233962203
Idaho,ID,statewide,False,Jerry Sturgill,democrat,False,188249,678943,0.2772677529630617
Illinois,IL,statewide,False,Scott Summers,green,False,117619,5491878,0.02141689964707883
Illinois,IL,statewide,False,Kenton McMillen,libertarian,False,175988,5491878,0.03204514011418316
Illinois,IL,statewide,False,0,0,True,42,5491878,7.647657140235089e-06
Illinois,IL,statewide,False,Mark Kirk,republican,False,2184692,5491878,0.3978041755479637
Illinois,IL,statewide,False,Tammy Duckworth,democrat,False,3012940,5491878,0.5486174310499978
Illinois,IL,statewide,False,0,0,True,77,5491878,1.4020704757097663e-05
Illinois,IL,statewide,False,0,0,True,106,5491878,1.9301229925355224e-05
Illinois,IL,statewide,False,0,0,True,408,5491878,7.429152650514086e-05
Illinois,IL,statewide,False,0,0,True,5,5491878,9.104353738375106e-07
Illinois,IL,statewide,False,0,0,True,1,5491878,1.8208707476750212e-07
Indiana,IN,statewide,False,Evan Bayh,democrat,False,1158947,2732546,0.4241271693138926
Indiana,IN,statewide,False,Todd C. Young,republican,False,1423991,2732546,0.5211224257523935
Indiana,IN,statewide,False,Lucy Brenton,libertarian,False,149481,2732546,0.05470392813149349
Indiana,IN,statewide,False,0,0,True,127,2732546,4.647680222034689e-05
Iowa,IA,statewide,False,Chuck Grassley,republican,False,926007,1541036,0.6008990056040222
Iowa,IA,statewide,False,Patty Judge,democrat,False,549460,1541036,0.356552345305366
Iowa,IA,statewide,False,Michael Luick-Thrams,nominated by petition,False,4441,1541036,0.0028818275497782013
Iowa,IA,statewide,False,0,0,True,1685,1541036,0.001093420270519313
Iowa,IA,statewide,False,Charles Aldrich,libertarian,False,41794,1541036,0.02712071619352176
Iowa,IA,statewide,False,Jim Hennager,new independent party iowa,False,17649,1541036,0.011452685076792495
Kansas,KS,statewide,False,Patrick Wiesner,democrat,False,379740,1177922,0.3223812782170636
Kansas,KS,statewide,False,0,0,True,46,1177922,3.9051821767485456e-05
Kansas,KS,statewide,False,Robert D. Garrard,libertarian,False,65760,1177922,0.05582712607456181
Kansas,KS,statewide,False,Jerry Moran,republican,False,732376,1177922,0.6217525438866071
Kentucky,KY,statewide,False,Rand Paul,republican,False,1090177,1903465,0.5727328845027359
Kentucky,KY,statewide,False,0,0,True,6,1903465,3.152146217555878e-06
Kentucky,KY,statewide,False,Jim Gray,democrat,False,813246,1903465,0.4272450504737413
Kentucky,KY,statewide,False,0,0,True,36,1903465,1.891287730533527e-05
Louisiana,LA,statewide,False,"Charles W. Boustany, Jr.",republican,False,298008,1997218,0.1492115532705994
Louisiana,LA,statewide,False,Derrick Edwards,democrat,False,51774,1997218,0.025923058975034274
Louisiana,LA,statewide,False,"M. V. ""Vinny""Mendoza",democrat,False,4927,1997218,0.002466931501718891
Louisiana,LA,statewide,False,John Fleming,republican,False,204026,1997218,0.10215509774095767
Louisiana,LA,statewide,False,Caroline Fayard,democrat,False,240917,1997218,0.12062629117101889
Louisiana,LA,statewide,False,Peter Williams,democrat,False,6855,1997218,0.0034322742935423175
Louisiana,LA,statewide,False,LeRoy Gillam,libertarian,False,4067,1997218,0.0020363325385611385
Louisiana,LA,statewide,False,"""Rob"" Maness",republican,False,90856,1997218,0.04549127836821018
Louisiana,LA,statewide,False,Kaitlin Marone,none,False,4108,1997218,0.00205686109378145
Louisiana,LA,statewide,False,Joshua Pellerin,democrat,False,7395,1997218,0.0037026503866878827
Louisiana,LA,statewide,False,"William Robert Lang, Jr.",other,False,1424,1997218,0.0007129917715542319
Louisiana,LA,statewide,False,Beryl Billiot,none,False,19352,1997218,0.009689478063987006
Louisiana,LA,statewide,False,Arden Wells,none,False,1483,1997218,0.0007425328632127289
Louisiana,LA,statewide,False,Troy Hebert,none,False,9503,1997218,0.004758118542893164
Louisiana,LA,statewide,False,John Kennedy,republican,False,536191,1997218,0.26846894029595164
Louisiana,LA,statewide,False,"Gregory Taylor, Jr.",other,False,1151,1997218,0.000576301635575085
Louisiana,LA,statewide,False,Thomas P. Clements,libertarian,False,11370,1997218,0.005692918850120517
Louisiana,LA,statewide,False,Gary Landrieu,democrat,False,45587,1997218,0.022825249922642395
Louisiana,LA,statewide,False,Foster Campbell,democrat,False,347816,1997218,0.1741502429879963
Louisiana,LA,statewide,False,Abhay Patel,republican,False,1576,1997218,0.0007890976348100207
Louisiana,LA,statewide,False,"""Joseph"" Cao",republican,False,21019,1997218,0.010524139077456742
Louisiana,LA,statewide,False,David Duke,republican,False,58606,1997218,0.029343817249794464
Louisiana,LA,statewide,False,"Donald ""Crawdaddy"" Crawford",republican,False,25523,1997218,0.012779275972878274
Louisiana,LA,statewide,False,Charles Marsala,republican,False,3684,1997218,0.0018445657910153024
Maryland,MD,statewide,False,Chris Van Hollen,democrat,False,1659907,2726170,0.6088787566439363
Maryland,MD,statewide,False,Margaret Flowers,green,False,89970,2726170,0.0330023439477362
Maryland,MD,statewide,False,0,0,True,77,2726170,2.824475362871721e-05
Maryland,MD,statewide,False,0,0,True,7,2726170,2.5677048753379285e-06
Maryland,MD,statewide,False,0,0,True,242,2726170,8.876922569025409e-05
Maryland,MD,statewide,False,0,0,True,138,2726170,5.06204675423763e-05
Maryland,MD,statewide,False,0,0,True,15,2726170,5.502224732866989e-06
Maryland,MD,statewide,False,0,0,True,26,2726170,9.537189536969448e-06
Maryland,MD,statewide,False,0,0,True,3231,2726170,0.0011851792074595495
Maryland,MD,statewide,False,Kathy Szeliga,republican,False,972557,2726170,0.35674847863486137
Missouri,MO,statewide,False,0,0,True,4,2802641,1.4272252493273309e-06
Missouri,MO,statewide,False,0,0,True,53,2802641,1.8910734553587136e-05
Missouri,MO,statewide,False,0,0,True,12,2802641,4.281675747981993e-06
Missouri,MO,statewide,False,Roy Blunt,republican,False,1378458,2802641,0.4918425156843135
Missouri,MO,statewide,False,Johnathan McFarland,green,False,30743,2802641,0.010969296460017533
Missouri,MO,statewide,False,Steven Wallace,0,True,1,2802641,3.568063123318327e-07
Missouri,MO,statewide,False,Fred Ryman,constitution,False,25407,2802641,0.009065377977414874
Missouri,MO,statewide,False,Jason Kander,democrat,False,1300200,2802641,0.4639195672938489
Missouri,MO,statewide,False,0,0,True,21,2802641,7.492932558968487e-06
Missouri,MO,statewide,False,Jonathan Dine,libertarian,False,67738,2802641,0.024169345984733685
Nevada,NV,statewide,False,Joseph J. Heck,republican,False,495079,1108294,0.44670367249123427
Nevada,NV,statewide,False,"Thomas ""Tom"" Sawyer",none,False,14208,1108294,0.012819703075176804
Nevada,NV,statewide,False,Catherine Cortez Masto,democrat,False,521994,1108294,0.4709887448637275
Nevada,NV,statewide,False,Tony Gumina,none,False,10740,1108294,0.009690569469833817
Nevada,NV,statewide,False,Tom Jones,independent american,False,17128,1108294,0.015454383042766631
Nevada,NV,statewide,False,none of the above,0,False,42257,1108294,0.038127969654261414
Nevada,NV,statewide,False,Jarrod M. Williams,none,False,6888,1108294,0.006214957402999565
New Hampshire,NH,statewide,False,Kelly Ayotte,republican,False,353632,739140,0.4784371025786725
New Hampshire,NH,statewide,False,Maggie Hassan,democrat,False,354649,739140,0.47981302594907593
New Hampshire,NH,statewide,False,scatter,0,False,520,739140,0.0007035203073842574
New Hampshire,NH,statewide,False,Brian Chabot,libertarian,False,12597,739140,0.017042779446383636
New Hampshire,NH,statewide,False,Aaron Day,independent,False,17742,739140,0.024003571718483642
New York,NY,statewide,False,Alex Merced,libertarian,False,48121,7800725,0.006168785593646744
New York,NY,statewide,False,Charles E. Schumer,working families,False,241672,7800725,0.030980710126302363
New York,NY,statewide,False,Wendy Long,republican,False,1723927,7800725,0.22099574078050438
New York,NY,statewide,False,Blank Vote,0,False,400943,7800725,0.05139817132381926
New York,NY,statewide,False,Void Vote,0,False,3474,7800725,0.0004453432213031481
New York,NY,statewide,False,Wendy Long,reform,False,17813,7800725,0.0022835056997907244
New York,NY,statewide,False,Charles E. Schumer,women's equality,False,45402,7800725,0.005820228248015409
New York,NY,statewide,False,scatter,0,False,3472,7800725,0.00044508683487752744
New York,NY,statewide,False,Charles E. Schumer,democrat,False,4784220,7800725,0.613304532591522
New York,NY,statewide,False,Wendy Long,conservative,False,267613,7800725,0.0343061702598156
New York,NY,statewide,False,Robin Laverne Wilson,green,False,113413,7800725,0.01453877684445997
New York,NY,statewide,False,Charles E. Schumer,independence,False,150655,7800725,0.01931294847594294
North Carolina,NC,statewide,False,Deborah K. Ross,democrat,False,2128165,4691133,0.45365693106548033
North Carolina,NC,statewide,False,Richard Burr,republican,False,2395376,4691133,0.5106177974489319
North Carolina,NC,statewide,False,Sean Haugh,libertarian,False,167592,4691133,0.03572527148558781
North Dakota,ND,statewide,False,0,0,True,366,342501,0.0010686100186568799
North Dakota,ND,statewide,False,James Germalic,independent,False,4675,342501,0.013649595183663698
North Dakota,ND,statewide,False,John Hoeven,republican,False,268788,342501,0.7847801904228017
North Dakota,ND,statewide,False,Eliot Glassheim,democrat,False,58116,342501,0.1696812564050908
North Dakota,ND,statewide,False,Robert N. Marquette,libertarian,False,10556,342501,0.03082034796978695
Ohio,OH,statewide,False,0,0,True,111,5374164,2.0654375266553088e-05
Ohio,OH,statewide,False,Scott Rupert,none,False,77291,5374164,0.014381957826370763
Ohio,OH,statewide,False,Ted Strickland,democrat,False,1996908,5374164,0.37157556040344136
Ohio,OH,statewide,False,Joseph R. DeMare,green,False,88246,5374164,0.016420414412362555
Ohio,OH,statewide,False,Tom Connors,none,False,93041,5374164,0.01731264620878708
Ohio,OH,statewide,False,Rob Portman,republican,False,3118567,5374164,0.5802887667737717
Oklahoma,OK,statewide,False,Mike Workman,democrat,False,355911,1448047,0.24578691161267555
Oklahoma,OK,statewide,False,James Lankford,republican,False,980892,1448047,0.677389615116084
Oklahoma,OK,statewide,False,Sean Braddy,independent,False,40405,1448047,0.027903099830323186
Oklahoma,OK,statewide,False,Robert T. Murphy,libertarian,False,43421,1448047,0.029985905153631063
Oklahoma,OK,statewide,False,Mark T. Beard,independent,False,27418,1448047,0.018934468287286257
Oregon,OR,statewide,False,Eric Navickas,pacific green,False,48823,1952478,0.025005659474780253
Oregon,OR,statewide,False,Other,0,False,2058,1952478,0.0010540451672182735
Oregon,OR,statewide,False,Ron Wyden,democrat,False,1105119,1952478,0.5660084262153018
Oregon,OR,statewide,False,Shanti S. Lewallen,working families,False,61915,1952478,0.03171098470763819
Oregon,OR,statewide,False,Steven C. Reynolds,independent,False,59516,1952478,0.03048228968521028
Oregon,OR,statewide,False,Mark Callahan,republican,False,651106,1952478,0.3334767408390773
Oregon,OR,statewide,False,Jim Lindsay,libertarian,False,23941,1952478,0.012261853910773899
Pennsylvania,PA,statewide,False,Katie McGinty,democrat,False,2865012,6051856,0.4734104711017579
Pennsylvania,PA,statewide,False,Edward T. Clifford III,libertarian,False,235142,6051856,0.03885452661134039
Pennsylvania,PA,statewide,False,Patrick J. Toomey,republican,False,2951702,6051856,0.48773500228690175
South Carolina,SC,statewide,False,Thomas Dixon,democrat,False,704540,2049893,0.3436959880344974
South Carolina,SC,statewide,False,Bill Bledsoe,libertarian,False,24830,2049893,0.012112827352452055
South Carolina,SC,statewide,False,Thomas Dixon,working families,False,37610,2049893,0.018347299102928788
South Carolina,SC,statewide,False,Bill Bledsoe,constitution,False,12652,2049893,0.006172029466903883
South Carolina,SC,statewide,False,Tim Scott,republican,False,1241609,2049893,0.6056945411297078
South Carolina,SC,statewide,False,0,0,True,1857,2049893,0.0009059009421467365
South Carolina,SC,statewide,False,Rebel Michael Scarborough,american,False,11923,2049893,0.005816401148742886
South Carolina,SC,statewide,False,Thomas Dixon,green,False,14872,2049893,0.007255012822620498
South Dakota,SD,statewide,False,John R. Thune,republican,False,265516,369656,0.7182786157941438
South Dakota,SD,statewide,False,Jay Williams,democrat,False,104140,369656,0.28172138420585624
Utah,UT,statewide,False,Mike Lee,republican,False,760220,1115583,0.6814553466662723
Utah,UT,statewide,False,Bill Barron,none,False,26166,1115583,0.023455000658848334
Utah,UT,statewide,False,Stoney Fonua,independent american,False,27339,1115583,0.02450646881496043
Utah,UT,statewide,False,Misty K. Snow,democrat,False,301858,1115583,0.270583183859919
Vermont,VT,statewide,False,Void Vote,0,False,466,320467,0.0014541278821220281
Vermont,VT,statewide,False,Scott Milne,republican,False,103637,320467,0.3233936723594005
Vermont,VT,statewide,False,Cris Ericson,united states marijuana,False,9156,320467,0.028570804482208778
Vermont,VT,statewide,False,Jerry Trudell,independent,False,5223,320467,0.01629808997494282
Vermont,VT,statewide,False,Pete Diamondstone,liberty union,False,3241,320467,0.010113365806775737
Vermont,VT,statewide,False,Blank Vote,0,False,6192,320467,0.019321802244848925
Vermont,VT,statewide,False,0,0,True,309,320467,0.0009642178445830615
Vermont,VT,statewide,False,Patrick J. Leahy,democrat,False,192243,320467,0.5998839194051182
Washington,WA,statewide,False,Chris Vance,republican,False,1329338,3243317,0.40986989554212555
Washington,WA,statewide,False,Patty Murray,democrat,False,1913979,3243317,0.5901301044578745
Wisconsin,WI,statewide,False,Russ Feingold,democrat,False,1380335,2948741,0.46810994929700506
Wisconsin,WI,statewide,False,Philip N. Anderson,libertarian,False,87531,2948741,0.029684194033996202
Wisconsin,WI,statewide,False,0,0,True,8,2948741,2.7130222695041713e-06
Wisconsin,WI,statewide,False,Ron Johnson,republican,False,1479471,2948741,0.5017297212607007
Wisconsin,WI,statewide,False,scatter,0,False,1396,2948741,0.00047342238602847794
